rhyme_unit	syllables_after	family_size	representative	rep_zipf	spelling_variants	all_words
EY1 SH AH0 N	1	575	information	5.43	information (5.4),  corp (4.3),  corp. (4.3),  haitian (3.4)	information, education, situation, association, population, station, administration, operation, organization, nation, application, location, generation, foundation, conversation, investigation, communication, combination, corporation, transportation, creation, legislation, formation, immigration, reputation, publication, explanation, inspiration, vacation, translation, regulation, organisation, representation, compensation, conservation, participation, innovation, preparation, registration, discrimination, implementation, presentation, relation, cooperation, celebration, collaboration, consideration, concentration, corp, corp., radiation, examination, federation, destination, imagination, integration, interpretation, motivation, evaluation, transformation, occupation, exploration, animation, classification, identification, aviation, determination, installation, d'aviation, medication, violation, duration, inflation, invitation, migration, observation, self-determination, separation, appreciation, restoration, declaration, recommendation, confirmation, rotation, variation, graduation, nomination, obligation, accommodation, demonstration, indication, orientation, recreation, navigation, consultation, isolation, resignation, adaptation, civilization, preservation, donation, expectation, rehabilitation, speculation, certification, configuration, frustration, dedication, revelation, documentation, meditation, reservation, salvation, simulation, elimination, litigation, delegation, illustration, notification, liberation, coordination, elevation, sensation, qualification, correlation, compilation, manipulation, exploitation, activation, justification, assassination, citation, congregation, decoration, taxation, automation, probation, negotiation, modification, vegetation, calculation, cancellation, designation, specification, valuation, allocation, anticipation, authorization, evacuation, renovation, acceleration, inflammation, termination, arbitration, confrontation, plantation, realization, reconciliation, temptation, consolidation, continuation, limitation, penetration, relaxation, contamination, dissertation, domination, stimulation, verification, irrigation, validation, insulation, optimization, mutation, precipitation, affiliation, cultivation, proliferation, regeneration, accusation, degradation, segregation, ventilation, accumulation, admiration, vaccination, vibration, deportation, inauguration, relocation, sanitation, implication, interrogation, desperation, hesitation, humiliation, retaliation, accreditation, clarification, consolation, characterization, reformation, condemnation, initiation, starvation, mediation, pronunciation, quotation, allegation, utilization, differentiation, expiration, fabrication, fascination, formulation, experimentation, imitation, moderation, notation, estimation, excavation, globalization, instrumentation, masturbation, mitigation, confederation, coronation, deprivation, proclamation, manifestation, annexation, incarnation, irritation, replication, ordination, deviation, incorporation, legalization, appropriation, intimidation, oxidation, defamation, constellation, depreciation, inclination, saturation, colonization, incarceration, modernization, unification, authentication, computation, haitian, illumination, calibration, devastation, propagation, visitation, alteration, reorganization, approximation, croatian, escalation, narration, visualization, complication, dehydration, denomination, filtration, aspiration, exaggeration, fermentation, stabilization, commemoration, modulation, ovation, punctuation, purification, specialization, emancipation, fixation, gratification, localization, misinformation, mobilization, privatization, sophistication, culmination, dissemination, liquidation, multiplication, polarization, remuneration, appalachian, cessation, emigration, affirmation, infiltration, fragmentation, segmentation, transplantation, annihilation, diversification, generalization, deforestation, vocation, agitation, assimilation, provocation, stagnation, hydration, refrigeration, deregulation, infestation, mutilation, ration, solicitation, alienation, deformation, duplication, telecommunication, contemplation, incubation, reincarnation, abbreviation, ratification, reclamation, abomination, extermination, flotation, altercation, amplification, capitalization, condensation, constipation, degeneration, eradication, inhalation, intoxication, adoration, disqualification, synchronization, causation, improvisation, privatisation, sterilization, articulation, exclamation, hospitalization, irradiation, reunification, standardization, amalgamation, evaporation, indignation, industrialization, cremation, deliberation, detonation, repatriation, augmentation, fertilization, importation, respiration, derivation, emulation, urbanization, desolation, gentrification, ionization, remediation, amputation, disintegration, excitation, socialization, coloration, distillation, hibernation, immunization, implantation, commendation, electrification, gestation, confiscation, maturation, molestation, normalization, aberration, commercialization, habitation, misrepresentation, ovulation, pollination, simplification, amortization, lubrication, disinformation, oscillation, procrastination, damnation, sedation, connotation, deflation, magnification, resuscitation, revocation, sequestration, vindication, ejaculation, facilitation, stipulation, summation, devaluation, invocation, capitulation, indoctrination, infatuation, menstruation, predation, recitation, annotation, convocation, divination, fluctuation, hallucination, naturalization, retardation, revitalization, consecration, dilation, decentralization, dislocation, impersonation, pigmentation, preoccupation, veneration, dispensation, polymerization, dissociation, fortification, intonation, lactation, liberalization, negation, quantification, categorization, elaboration, fibrillation, hybridization, personification, victimization, consternation, discoloration, dissipation, intensification, abdication, germination, suffocation, syndication, demarcation, desalination, rejuvenation, castration, decontamination, democratization, insemination, ornamentation, adjudication, aggravation, appellation, desegregation, strangulation, inactivation, conciliation, conjugation, desecration, domestication, flirtation, orchestration, procreation, acidification, congratulation, deceleration, self-congratulation, tribulation, trepidation, dictation, nationalization, origination, overpopulation, rationalization, carnation, corroboration, elation, excommunication, miscommunication, centralization, coagulation, disorientation, equalization, triangulation, misinterpretation, perspiration, cohabitation, gravitation, dalmatian, inoculation, insubordination, perturbation, sedimentation, argumentation, instigation, marginalization, reconsideration, elongation, exasperation, expropriation, glorification, indentation, permutation, radicalization, recuperation, renunciation, reparation, alleviation, decapitation, discontinuation, laceration, renegotiation, refutation, denunciation, miscalculation, adulation, misappropriation, oration, subordination, unionization, decriminalization, enumeration, evocation, detoxification, exhortation, conflagration, nullification, pacification, personalization, crustacean, hyperinflation, incantation, internationalization, obfuscation, perforation, repudiation, sanctification, exhilaration, extrapolation, rectification, toleration, delineation, reauthorization, agglomeration, criminalization, jubilation, consummation, levitation, destabilization, falsification, insinuation, ligation, predestination, reinterpretation, canonization, glaciation, reconfiguration, reforestation
EY1 SH AH0 N Z	1	201	patients	4.91	patients (4.9),  operations (4.9),  operations' (4.9),  corp.'s (4.3),  nation's (4.0),  crustaceans (2.8)	patients, operations, operations', nations, nations', organizations, relations, applications, communications, communications', regulations, stations, stations', situations, locations, expectations, congratulations, conversations, generations, recommendations, publications, publications', corp.'s, investigations, negotiations, populations, corporations, corporations', organisations, donations, implications, variations, allegations, limitations, associations, observations, nation's, obligations, violations, complications, foundations, specifications, qualifications, calculations, illustrations, preparations, accusations, celebrations, combinations, destinations, telecommunications, telecommunications', modifications, nominations, reservations, demonstrations, installations, concentrations, decorations, explanations, medications, considerations, innovations, translations, representations, aspirations, notifications, mutations, interpretations, formations, examinations, presentations, indications, citations, revelations, alterations, creations, simulations, vacations, accommodations, fluctuations, plantations, configurations, occupations, evaluations, motivations, vibrations, invitations, organization's, transformations, consultations, adaptations, animations, appropriations, civilizations, administrations, administrations', administration's, collaborations, certifications, denominations, quotations, ramifications, sensations, congregations, hallucinations, association's, frustrations, elevations, excavations, declarations, manifestations, reparations, rotations, classifications, foundation's, deliberations, temptations, affiliations, registrations, vaccinations, valuations, station's, explorations, cancellations, connotations, correlations, delegations, inspirations, formulations, fortifications, generalizations, abbreviations, designations, deviations, imaginations, reputations, migrations, allocations, annotations, assassinations, meditations, constellations, corporation's, speculations, confrontations, deportations, compilations, orientations, oscillations, justifications, machinations, federations, incarnations, manipulations, tribulations, resignations, computations, determinations, evacuations, generation's, interrogations, permutations, affirmations, crustaceans, restorations, stipulations, inclinations, haitians, approximations, durations, imitations, informations, palpitations, eliminations, separations, lacerations, infestations, confirmations, aberrations, notations, proclamations, carnations, commemorations, estimations, characterizations, hospitalizations, federation's, realizations, educations, identifications, clarifications, accumulations, education's, fabrications, vocations, protestations, terminations, amputations, provocations, pronunciations
IH1 SH AH0 N	1	82	position	5.21	position (5.2),  physician (4.2)	position, addition, commission, competition, mission, condition, edition, definition, opposition, permission, tradition, recognition, transition, exhibition, composition, transmission, petition, acquisition, coalition, physician, politician, admission, nutrition, submission, musician, expedition, suspicion, tuition, ambition, ammunition, proposition, audition, prohibition, emission, technician, ignition, partition, demolition, exposition, intuition, magician, abolition, deposition, disposition, repetition, rendition, inhibition, inquisition, cognition, omission, extradition, decomposition, electrician, malnutrition, mathematician, fruition, superstition, imposition, remission, attrition, fission, pediatrician, sedition, intermission, clinician, juxtaposition, statistician, apparition, volition, predisposition, reposition, dietitian, requisition, obstetrician, premonition, patrician, precondition, supposition, contrition, titian, tactician, admonition
IY1 N AH0	1	65	arena	4.33	arena (4.3)	arena, argentina, nina, marina, christina, tina, serena, lena, katrina, regina, gina, angelina, latina, cristina, mina, sabrina, subpoena, medina, athena, selena, ina, kristina, burkina, ballerina, irina, dina, valentina, georgina, martina, catalina, herzegovina, lina, molina, mena, alina, selina, jena, reina, messina, katarina, magdalena, hyena, cartagena, rena, salina, sheena, paulina, sabina, edwina, cantina, farina, patina, pina, rina, xena, galena, rowena, spina, dena, wilhelmina, bettina, melina, davina, ekaterina, katharina
AE1 N AH0	1	59	santa	4.49	santa (4.5),  piano (4.3),  hannah (4.0),  santa's (2.9)	santa, anna, atlanta, indiana, piano, louisiana, hannah, montana, diana, banana, ghana, ana, lana, savannah, hanna, nana, havana, joanna, santana, americana, hana, ariana, rana, urbana, johanna, adriana, mariana, tatiana, jana, susanna, juliana, santa's, fontana, brianna, alana, deanna, susannah, savanna, kana, susquehanna, champaign-urbana, manna, quintana, morgana, bandana, cana, cabana, khanna, arianna, humana, arcana, texarkana, tropicana, copacabana, shana, christiana, liliana, georgiana, nanna
IH1 SH AH0 N Z	1	55	conditions	4.98	conditions (5.0),  politicians (4.5),  politicians' (4.5),  commission's (3.2)	conditions, positions, politicians, politicians', missions, traditions, musicians, musicians', emissions, physicians, physicians', editions, competitions, commissions, definitions, additions, admissions, submissions, acquisitions, exhibitions, ambitions, compositions, transitions, technicians, suspicions, petitions, auditions, expeditions, transmissions, munitions, clinicians, commission's, mathematicians, partitions, omissions, permissions, magicians, propositions, coalitions, prohibitions, electricians, electricians', superstitions, inhibitions, statisticians, repetitions, dispositions, depositions, renditions, pediatricians, mission's, preconditions, competition's, apparitions, obstetricians
EH1 R IY0	1	53	very	6.0	very (6.0),  carry (4.9),  mary (4.8),  jerry (4.3),  dairy (4.1),  bury (3.9)	very, carry, mary, harry, marry, gary, scary, larry, barry, jerry, vary, terry, perry, cherry, contrary, dairy, fairy, ferry, berry, bury, kerry, merry, hairy, carrie, carey, prairie, gerry, wary, canary, parry, cary, sherry, garry, terri, airy, derry, barrie, barre, teri, kari, cherie, carrey, clary, ary, sherri, kerri, remarry, sperry, arie, nary, cheri, sheri, ranieri
AE1 T IH0 K	1	53	democratic	4.73	democratic (4.7)	democratic, dramatic, automatic, diplomatic, static, problematic, systematic, traumatic, attic, aquatic, cinematic, pragmatic, charismatic, bureaucratic, ecstatic, erratic, pancreatic, thematic, aromatic, aristocratic, fanatic, climatic, schematic, enigmatic, pneumatic, asiatic, emphatic, symptomatic, hepatic, matic, electrostatic, idiosyncratic, melodramatic, adriatic, dogmatic, operatic, autocratic, asymptomatic, emblematic, programmatic, undemocratic, lymphatic, acrobatic, enzymatic, prismatic, monochromatic, asthmatic, socratic, rheumatic, axiomatic, psychosomatic, semiautomatic, numismatic
IY1 AH0	1	43	idea	5.36	idea (5.4),  leah (3.5)	idea, via, korea, maria, santa-maria, garcia, mia, diego-garcia, sofia, ia, sophia, tanzania, diarrhea, ikea, shia, leah, crimea, dia, tia, pia, tortilla, eritrea, ria, chia, diarrhoea, jia, rhea, thea, lia, judea, pizzeria, zia, urea, panacea, medea, galleria, dorothea, gonorrhea, cea, samaria, hosea, nicosia, althea
IH1 S T IH0 K	1	43	artistic	4.17	artistic (4.2)	artistic, realistic, characteristic, optimistic, linguistic, mystic, unrealistic, ballistic, statistic, autistic, futuristic, holistic, simplistic, journalistic, pessimistic, narcissistic, sadistic, idealistic, stylistic, logistic, cystic, opportunistic, nationalistic, antagonistic, materialistic, altruistic, deterministic, naturalistic, relativistic, humanistic, hellenistic, individualistic, heuristic, ritualistic, anachronistic, synergistic, militaristic, capitalistic, mechanistic, hedonistic, uncharacteristic, pluralistic, monopolistic
AY1 ER0	1	42	fire	5.3	fire (5.3),  higher (5.2),  prior (4.8),  liar (4.0),  choir (3.9)	fire, higher, entire, prior, require, desire, wire, hire, acquire, retire, buyer, liar, tire, cease-fire, choir, supplier, meyer, dire, flyer, dryer, attire, sire, dyer, ceasefire, drier, pryor, dwyer, friar, fryer, flier, enquire, meier, briar, trier, conspire, grier, myer, ayer, mire, pyre, hier, iyer
EH1 K T IH0 D	1	40	expected	4.96	expected (5.0)	expected, connected, selected, affected, elected, directed, protected, rejected, unexpected, suspected, infected, reflected, respected, detected, corrected, subjected, erected, neglected, injected, disconnected, inspected, ejected, unaffected, effected, unprotected, interconnected, resurrected, deflected, defected, undetected, redirected, reelected, disrespected, unconnected, dejected, unelected, disaffected, reconnected, misdirected, intersected
EY1 T IH0 D	1	39	related	5.1	related (5.1)	related, created, stated, rated, dated, waited, hated, translated, unrelated, weighted, underrated, debated, awaited, overrated, inflated, plated, slated, reinstated, annotated, gated, fated, recreated, grated, undated, belated, equated, elated, mated, deflated, skated, baited, conjugated, sedated, unabated, interrelated, berated, restated, desecrated, abated
EH1 K SH AH0 N	1	38	election	5.08	election (5.1)	election, section, collection, direction, protection, connection, selection, infection, reflection, inspection, detection, injection, perfection, correction, affection, rejection, intersection, projection, objection, resurrection, erection, reelection, complexion, recollection, convection, insurrection, ejection, dissection, introspection, defection, inflection, interconnection, imperfection, disinfection, disconnection, flexion, redirection, predilection
EH1 R AH0	1	37	era	4.67	era (4.7),  sarah (4.5),  terre (3.1)	era, sarah, sierra, sara, para, clara, vera, tara, canberra, kara, rivera, terra, cara, sahara, herrera, hara, o'hara, mascara, riviera, farah, terre, cabrera, guerra, aguilera, pereira, serra, farrah, chimera, carrera, vieira, teixeira, caldera, madera, naira, cera, valera, berra
EH1 N T AH0 L	1	35	mental	4.83	mental (4.8),  gentle (4.2),  lentil (2.7)	mental, environmental, fundamental, experimental, gentle, dental, rental, continental, instrumental, governmental, accidental, developmental, parental, oriental, detrimental, sentimental, monumental, supplemental, elemental, incremental, ornamental, incidental, departmental, judgmental, intercontinental, intergovernmental, regimental, transcendental, coincidental, occidental, judgemental, transcontinental, temperamental, lentil, nongovernmental
EH1 K T IH0 NG	1	35	expecting	4.42	expecting (4.4)	expecting, protecting, collecting, connecting, affecting, reflecting, directing, selecting, respecting, rejecting, projecting, detecting, correcting, electing, injecting, neglecting, inspecting, unsuspecting, perfecting, infecting, prospecting, suspecting, disrespecting, intersecting, objecting, subjecting, effecting, erecting, deflecting, dissecting, disconnecting, redirecting, reconnecting, resurrecting, ejecting
IY1 N OW0	1	34	casino	4.16	casino (4.2)	casino, latino, amino, filipino, reno, dino, moreno, nino, marino, bernardino, valentino, tarantino, aquino, gino, chino, leno, camino, cappuccino, merino, torino, geno, martino, neutrino, gambino, pacino, lino, pino, tino, mendocino, mino, cupertino, jalapeno, agostino, d'agostino
EH1 N D IH0 NG	1	32	spending	4.71	spending (4.7)	spending, ending, sending, depending, defending, attending, pretending, extending, pending, lending, bending, trending, recommending, impending, descending, intending, blending, offending, vending, ascending, tending, suspending, condescending, contending, amending, unending, mending, comprehending, fending, transcending, befriending, expending
AY1 ER0 Z	1	32	requires	4.67	requires (4.7),  buyers (4.2),  buyers' (4.2),  liars (3.5),  buyer's (2.9),  fire's (2.6)	requires, fires, buyers, buyers', tires, desires, suppliers, suppliers', wires, myers, flyers, expires, hires, liars, acquires, retires, meyers, i'ers, fliers, friars, pliers, buyer's, ayers, byers, byers', aspires, dryers, squires, inquires, fire's, priors, transpires
EH1 L AH0	1	31	umbrella	3.89	umbrella (3.9),  tele (3.1)	umbrella, bella, stella, ella, fella, isabella, cinderella, della, mandela, tele, salmonella, novella, ela, daniela, gabriella, michaela, bela, gabriela, cappella, arabella, marbella, dela, vela, capella, marcella, favela, rubella, nella, kinsella, vella, estrella
EH1 R IH0 NG	1	30	wearing	4.85	wearing (4.8)	wearing, sharing, preparing, bearing, caring, staring, comparing, declaring, tearing, daring, pairing, airing, repairing, swearing, herring, red-herring, glaring, scaring, sparing, baring, blaring, overbearing, bering, flaring, waring, chairing, despairing, squaring, uncaring, paring
IH1 L IY0	1	29	really	5.97	really (6.0),  silly (4.4),  chile (4.1),  lily (4.0),  chili (3.7),  tilley (2.6)	really, silly, billy, chile, lily, willie, chili, philly, willy, lilly, chilly, billie, millie, hilly, filly, milly, lili, tilly, lillie, milli, willi, chantilly, dilly, gilly, nilly, tilley, willey, lilley, frilly
EH1 SH AH0 N	1	29	question	5.35	question (5.3),  freshen (2.9),  hessian (2.6)	question, session, depression, expression, possession, impression, profession, succession, aggression, discretion, obsession, progression, confession, recession, compression, oppression, suppression, concession, procession, repression, regression, accession, secession, decompression, transgression, freshen, intercession, indiscretion, hessian
EY1 N IH0 NG	1	29	training	5.18	training (5.2)	training, remaining, painting, containing, maintaining, explaining, gaining, complaining, entertaining, obtaining, retaining, raining, campaigning, pertaining, draining, sustaining, restraining, reigning, straining, staining, attaining, regaining, waning, detaining, retraining, abstaining, feigning, chaining, constraining
EH1 T IH0 K	1	29	genetic	4.34	genetic (4.3)	genetic, magnetic, athletic, pathetic, aesthetic, synthetic, sympathetic, cosmetic, energetic, poetic, electromagnetic, diabetic, kinetic, arithmetic, prosthetic, prophetic, anesthetic, phonetic, apologetic, empathetic, apathetic, epigenetic, ascetic, unapologetic, frenetic, unsympathetic, acetic, diuretic, geomagnetic
AY1 IH0 NG	1	28	trying	5.47	trying (5.5)	trying, buying, flying, lying, dying, crying, applying, underlying, denying, relying, supplying, drying, tying, spying, implying, replying, frying, complying, defying, eyeing, dyeing, vying, undying, prying, sighing, plying, overlying, decrying
AA1 L IY0	1	28	ali	4.31	ali (4.3),  holly (3.9),  poly (3.6),  trolley (3.4),  ollie (3.3),  vitaly (2.7)	ali, holly, molly, bali, poly, jolly, dolly, mali, somali, trolley, polly, folly, cali, ollie, volley, bengali, collie, olly, dali, diwali, internationale, mollie, lolly, vitaly, golly, holley, kigali, vitali
AO1 R AH0	1	28	laura	4.24	laura (4.2),  torah (3.4)	laura, aurora, flora, aura, nora, dora, torah, pandora, cora, plethora, ora, bora, mora, fedora, maura, norah, sonora, fora, andorra, zamora, zora, angora, lora, arora, hora, theodora, gomorrah, leonora
IH1 R IH0 NG	1	27	engineering	4.8	engineering (4.8)	engineering, appearing, clearing, steering, cheering, tearing, disappearing, fearing, pioneering, interfering, volunteering, nearing, gearing, adhering, rearing, earring, searing, racketeering, shearing, smearing, premiering, domineering, profiteering, bioengineering, sneering, veering, persevering
AA1 N OW0	1	27	nano	3.47	nano (3.5)	nano, cristiano, soprano, milano, kano, mariano, luciano, mano, chicano, delano, serrano, cano, solano, americano, napolitano, soriano, adriano, giordano, italiano, nagano, cyrano, murano, giuliano, lugano, sano, yano, feliciano
AO1 R IY0	1	26	story	5.45	story (5.5),  corey (3.7),  laurie (3.6),  quarry (3.6),  lori (3.4),  lorry (3.2)	story, glory, inventory, tory, rory, corey, laurie, storey, quarry, cory, lori, lorry, tori, salvatore, mori, dory, maury, gory, ori, torrey, montessori, corrie, lawrie, tempore, morey, dori
UW1 SH AH0 N	1	26	solution	4.84	solution (4.8),  lucian (3.1)	solution, distribution, resolution, constitution, revolution, evolution, institution, contribution, execution, pollution, prosecution, persecution, prostitution, dissolution, substitution, retribution, attribution, redistribution, restitution, lucian, dilution, devolution, absolution, confucian, electrocution, aleutian
EY1 T IH0 NG	1	25	waiting	5.06	waiting (5.1)	waiting, dating, creating, rating, relating, stating, hating, skating, awaiting, updating, debating, mating, translating, grating, plating, baiting, recreating, weighting, equating, inflating, innovating, berating, gating, negating, reinstating
EH1 K T AH0 D	1	25	expected	4.96	expected (5.0)	expected, connected, selected, affected, collected, elected, directed, protected, rejected, suspected, infected, reflected, respected, detected, projected, corrected, erected, neglected, injected, objected, effected, perfected, reelected, dissected, inflected
AE1 L IY0	1	25	valley	4.72	valley (4.7),  rally (4.3),  finale (4.0),  cali (3.3),  vitaly (2.7)	valley, rally, finale, sally, alley, tally, verbally, cali, o'malley, galley, halle, allie, mcnally, alli, dally, bally, vitaly, halley, sallie, cally, cavalli, lally, talley, valli, vitale
OW1 L AH0	1	25	cola	3.74	cola (3.7),  ayatollah (2.9)	cola, ebola, nicola, viola, lola, motorola, angola, hola, loyola, pensacola, guardiola, nola, ola, granola, nikola, ayatollah, gondola, zola, jolla, coppola, canola, sola, cupola, bola, osceola
AA1 N AH0	1	24	gonna	5.29	gonna (5.3)	gonna, wanna, marijuana, ana, donna, madonna, nirvana, mana, guyana, botswana, haryana, tatiana, sana, tijuana, guiana, svetlana, iguana, marianna, susana, nona, ivana, juana, lackawanna, liana
EH1 N D IH0 D	1	24	ended	4.92	ended (4.9),  splendid (3.8)	ended, intended, extended, recommended, suspended, defended, offended, amended, splendid, tended, descended, pretended, blended, depended, commended, unintended, unattended, contended, expended, befriended, appended, transcended, mended, trended
EH1 N AH0 L	1	24	environmental	4.7	environmental (4.7),  gentle (4.2),  kennel (3.2),  phenol (2.6)	environmental, fundamental, experimental, gentle, dental, continental, instrumental, accidental, developmental, oriental, detrimental, sentimental, monumental, supplemental, elemental, incremental, departmental, judgmental, kennel, transcendental, fennel, occidental, transcontinental, phenol
OW1 N IY0	1	24	tony	4.64	tony (4.6),  toni (3.6),  bologna (3.2),  coney (3.1),  abalone (2.7)	tony, sony, pony, toni, phony, stony, bologna, bony, macaroni, coney, mahoney, pepperoni, maloney, joni, antoni, stoney, berlusconi, crony, marconi, phoney, abalone, falcone, baloney, boney
EH1 L IY0	1	24	kelly	4.44	kelly (4.4),  delhi (4.3),  ellie (3.6),  shelley (3.5)	kelly, delhi, new-delhi, belly, jelly, ellie, shelley, kelley, deli, shelly, smelly, telly, nelly, tele, nellie, allele, elie, kelli, elly, machiavelli, kellie, pirelli, belli, morelli
IY1 N IY0	1	24	bikini	3.7	bikini (3.7),  genie (3.4),  sweeney (3.4),  teeny (3.0)	bikini, genie, sweeney, martini, lamborghini, mussolini, yemeni, teeny, zucchini, mancini, jeannie, pellegrini, houdini, cassini, eugenie, jeanie, delphine, bellini, puccini, feeney, heaney, queenie, rossini, lavine
EY1 IH0 NG	1	23	playing	5.37	playing (5.4)	playing, saying, paying, staying, laying, praying, weighing, displaying, spraying, delaying, portraying, surveying, slaying, conveying, decaying, betraying, swaying, obeying, preying, replaying, disobeying, straying, repaying
EH1 K T IH0 V	1	23	effective	4.89	effective (4.9)	effective, perspective, objective, collective, detective, respective, protective, selective, prospective, subjective, directive, ineffective, reflective, defective, retrospective, irrespective, elective, corrective, connective, affective, introspective, projective, convective
AA1 N IH0 K	1	23	electronic	4.55	electronic (4.5)	electronic, chronic, sonic, ironic, tonic, demonic, harmonic, embryonic, ionic, platonic, philharmonic, panasonic, supersonic, masonic, tectonic, ultrasonic, napoleonic, symphonic, mnemonic, bubonic, hegemonic, sardonic, hypersonic
EY1 L IH0 NG	1	23	failing	4.3	failing (4.3)	failing, sailing, scaling, detailing, mailing, prevailing, trailing, railing, whaling, unveiling, hailing, wailing, ailing, emailing, inhaling, nailing, bailing, flailing, tailing, grayling, curtailing, jailing, unfailing
EH1 R IY0 Z	1	23	carries	4.23	carries (4.2),  mary's (3.6),  harry's (3.4),  perry's (3.1),  carey's (2.6)	carries, varies, mary's, berries, aires, harry's, fairies, marries, cherries, ferries, aries, perry's, jerry's, barry's, terry's, canaries, buries, gary's, kerry's, carey's, larry's, berry's, dairies
EH1 S IH0 NG	1	23	dressing	4.17	dressing (4.2)	dressing, pressing, addressing, blessing, expressing, guessing, depressing, messing, assessing, possessing, progressing, stressing, suppressing, distressing, confessing, impressing, obsessing, caressing, compressing, lessing, professing, oppressing, repressing
OW1 IH0 NG	1	22	going	5.94	going (5.9)	going, growing, showing, knowing, throwing, blowing, flowing, boeing, glowing, owing, slowing, undergoing, sewing, rowing, towing, bowing, snowing, foregoing, sowing, easygoing, crowing, unknowing
EH1 S IH0 Z	1	22	s.'s	5.56	s.'s (5.6),  addresses (4.1),  s's (2.5)	s.'s, addresses, dresses, successes, stresses, expresses, possesses, presses, messes, guesses, confesses, excesses, assesses, impresses, suppresses, compresses, blesses, caresses, depresses, professes, tresses, s's
EY1 T ER0	1	22	later	5.49	later (5.5),  creator (4.2),  decatur (3.1)	later, greater, creator, traitor, translator, dictator, waiter, cater, crater, curator, mater, slater, skater, equator, gator, hater, decatur, freighter, straighter, tater, pater, grater
IY1 D IH0 NG	1	22	reading	5.14	reading (5.1)	reading, leading, feeding, bleeding, breeding, needing, misleading, preceding, speeding, proceeding, succeeding, exceeding, pleading, seeding, conceding, receding, weeding, impeding, inbreeding, rereading, ceding, misreading
EH1 R OW0	1	22	narrow	4.39	narrow (4.4),  romero (3.3),  pharaoh (3.3)	narrow, arrow, marrow, sparrow, barrow, romero, aero, pharaoh, guerrero, aguero, camaro, taro, vero, darrow, ferro, ribeiro, cerro, montero, caballero, faro, sombrero, yarrow
OW1 N AH0	1	22	arizona	4.38	arizona (4.4),  jonah (3.5),  kimono (3.0)	arizona, barcelona, persona, fiona, mona, jonah, corona, daytona, bona, verona, ramona, kimono, dona, pomona, kona, iona, rona, shona, zona, simona, sedona, pamplona
IH1 K IY0	1	22	tricky	3.96	tricky (4.0),  mickey (3.9),  nikki (3.7),  dickie (2.9)	tricky, ricky, mickey, sticky, nikki, nicky, vicky, picky, nicki, vicki, hickey, niki, dickie, micky, dickey, rickie, quickie, dicky, vickie, rickey, rikki, ricki
AW1 ER0	1	21	our	6.14	our (6.1),  power (5.5),  mph (4.0)	our, power, hour, shower, tower, flower, mph, flour, sour, bauer, empower, superpower, devour, bower, gower, scour, overpower, lauer, sauer, cower, dour
EH1 N IY0	1	21	any	6.07	any (6.1),  plenty (4.7),  penny (4.1),  jennie (3.2),  kenney (2.9),  jenni (2.8)	any, many, how-many, plenty, twenty, penny, kenny, jenny, benny, denny, lenny, jennie, antennae, kenney, rennie, penney, jenni, bennie, lennie, beni, leonie
UW1 IH0 NG	1	21	doing	5.6	doing (5.6)	doing, viewing, pursuing, reviewing, brewing, chewing, suing, screwing, ewing, renewing, booing, undoing, queuing, spewing, debuting, canoeing, tattooing, wooing, accruing, overdoing, redoing
EH1 N SH AH0 N	1	21	attention	5.11	attention (5.1)	attention, mention, convention, extension, prevention, suspension, pension, tension, invention, dimension, detention, retention, contention, comprehension, hypertension, ascension, apprehension, condescension, reinvention, dissension, hypotension
AY1 N IH0 NG	1	21	mining	4.56	mining (4.6)	mining, signing, dining, shining, defining, combining, designing, lining, declining, whining, refining, assigning, resigning, aligning, redefining, reclining, pining, redesigning, confining, fining, wining
AE1 N D ER0	1	21	commander	4.51	commander (4.5),  candor (2.8),  aleksandr (2.8)	commander, alexander, slander, lander, santander, coriander, sander, gander, hander, grander, candor, aleksandr, salamander, meander, ander, sandor, pander, zander, leander, vander, evander
AA1 N IY0	1	21	johnny	4.35	johnny (4.3),  ronnie (3.7),  dani (3.4),  donny (3.2),  tawny (2.8)	johnny, ronnie, bonnie, dani, giovanni, donnie, donny, mani, giuliani, johnnie, armani, rani, ronny, gianni, bonny, tawny, azerbaijani, bahraini, romani, fulani, irani
EH1 R AH0 L	1	21	barrel	4.17	barrel (4.2),  carol (4.0),  carroll (3.8),  cheryl (3.6),  merrill (3.5),  daryl (3.4)	barrel, carol, carroll, apparel, cheryl, merrill, daryl, sterile, there'll, peril, feral, darryl, carole, darrell, meryl, sheryl, terrell, errol, beryl, harrell, karel
EH1 K T ER0	1	20	director	5.15	director (5.2),  nectar (3.2),  spectre (3.2),  specter (3.1)	director, sector, inspector, vector, collector, detector, protector, hector, connector, projector, rector, nectar, spectre, specter, reflector, injector, spector, defector, objector, lecter
EY1 L IY0	1	20	daily	5.07	daily (5.1),  israeli (4.4),  bailey (4.1),  daly (3.5),  wally (3.5),  ukulele (3.0)	daily, israeli, bailey, bi-daily, haley, daly, wally, hayley, daley, hailey, ukulele, bayley, aly, baillie, paley, bally, halley, disraeli, bailly, staley
EY1 S IH0 Z	1	20	cases	5.04	cases (5.0),  grace's (2.6)	cases, places, faces, races, spaces, bases, traces, replaces, braces, aces, embraces, chases, paces, laces, graces, basses, erases, grace's, displaces, race's
