rhyme_unit	syllables_after	family_size	representative	rep_zipf	spelling_variants	all_words
ER1 D ER0	1	3	murder	4.86	murder (4.9)	murder, girder, herder
OY1 AH0 L	1	3	royal	4.85	royal (4.8)	royal, loyal, disloyal
OW1 P AH0 N D	1	3	opened	4.85	opened (4.8)	opened, reopened, unopened
IH1 JH AH0 S	1	3	religious	4.85	religious (4.8)	religious, prestigious, prodigious
EY1 M AH0 S	1	3	famous	4.84	famous (4.8),  amos (3.5)	famous, amos, seamus
EH1 S T M AH0 N T	1	3	investment	4.84	investment (4.8)	investment, reinvestment, divestment
AH1 K CH ER0	1	3	structure	4.84	structure (4.8)	structure, infrastructure, restructure
AA1 M AH0 S	1	3	thomas	4.84	thomas (4.8),  thomas' (4.8),  promise (4.7)	thomas, thomas', promise
OW1 S L IY0	1	3	mostly	4.83	mostly (4.8),  closely (4.5),  grossly (3.3)	mostly, closely, grossly
EY1 S IH0 S	1	3	basis	4.81	basis (4.8),  racists (3.4)	basis, oasis, racists
OY1 IY0 Z	1	3	employees	4.81	employees (4.8),  employees' (4.8),  employee's (2.9)	employees, employees', employee's
EH1 R M AH0 N	1	3	chairman	4.8	chairman (4.8),  herrmann (2.7)	chairman, airman, herrmann
EH1 N IH0 T	1	3	senate	4.8	senate (4.8),  bennett (4.0),  bennet (3.1)	senate, bennett, bennet
IH1 N D OW0	1	3	window	4.8	window (4.8),  indo (3.5)	window, indo, lindo
AE1 N T IH0 JH	1	3	advantage	4.78	advantage (4.8)	advantage, disadvantage, vantage
AE1 N IH0 JH	1	3	advantage	4.78	advantage (4.8)	advantage, manage, disadvantage
IY1 S T ER0 N	1	3	eastern	4.78	eastern (4.8)	eastern, southeastern, northeastern
UW1 N IH0 T S	1	3	units	4.77	units (4.8),  units' (4.8),  unit's (2.9)	units, units', unit's
AE1 JH IH0 K	1	3	magic	4.76	magic (4.8)	magic, tragic, pelagic
AO1 R D ER0 D	1	3	ordered	4.74	ordered (4.7)	ordered, bordered, disordered
EH1 F R AH0 N S	1	3	reference	4.74	reference (4.7)	reference, preference, deference
EH1 N R IY0	1	3	henry	4.74	henry (4.7),  henri (3.5)	henry, henri, mchenry
AA1 D AH0 L Z	1	3	models	4.74	models (4.7),  models' (4.7),  model's (2.9)	models, models', model's
OW1 S ER0	1	3	closer	4.73	closer (4.7)	closer, grocer, grosser
AA1 N AH0 S T	1	3	honest	4.73	honest (4.7),  pianist (3.5)	honest, dishonest, pianist
AW1 S AH0 Z	1	3	houses	4.72	houses (4.7)	houses, spouses, blouses
EH1 N T ER0 D	1	3	entered	4.72	entered (4.7)	entered, centered, mentored
AE1 S IH0 K	1	3	classic	4.72	classic (4.7)	classic, jurassic, thoracic
EH1 K T R IH0 K	1	3	electric	4.72	electric (4.7)	electric, hydroelectric, piezoelectric
AA1 P SH AH0 N Z	1	3	options	4.71	options (4.7),  options' (4.7)	options, options', adoptions
IY1 L IH0 NG Z	1	3	feelings	4.71	feelings (4.7)	feelings, dealings, ceilings
AH1 N D ER0 D	1	3	hundred	4.71	hundred (4.7)	hundred, wondered, plundered
AO1 R AH0 S T	1	3	forest	4.7	forest (4.7),  florist (3.0)	forest, forrest, florist
OW1 L JH ER0 Z	1	3	soldiers	4.7	soldiers (4.7),  soldiers' (4.7),  soldier's (3.1)	soldiers, soldiers', soldier's
AA1 D IY0 Z	1	3	bodies	4.69	bodies (4.7),  body's (3.6)	bodies, body's, embodies
EY1 T IH0 V	1	3	native	4.69	native (4.7)	native, creative, vegetative
AA1 R JH AH0 Z	1	3	charges	4.68	charges (4.7)	charges, barges, discharges
AE1 N AH0 T	1	3	planet	4.68	planet (4.7),  granite (3.9)	planet, janet, granite
IH1 SH AH0 L Z	1	3	officials	4.68	officials (4.7),  officials' (4.7)	officials, officials', initials
IY1 P AH0 L Z	1	3	people's	4.68	people's (4.7),  peoples (4.3),  peoples' (4.3)	people's, peoples, peoples'
EH1 P T IH0 D	1	3	accepted	4.67	accepted (4.7)	accepted, intercepted, excepted
AA1 R T IH0 S	1	3	artists	4.67	artists (4.7),  artists' (4.7),  artis (2.6)	artists, artists', artis
AA1 R T AH0 S T S	1	3	artists	4.67	artists (4.7),  artists' (4.7),  artist's (3.5)	artists, artists', artist's
AA1 R T IH0 S T S	1	3	artists	4.67	artists (4.7),  artists' (4.7),  artist's (3.5)	artists, artists', artist's
EH1 ZH ER0 Z	1	3	measures	4.67	measures (4.7)	measures, treasures, pleasures
IH1 L Y AH0 M Z	1	3	williams	4.67	williams (4.7),  williams' (4.7),  william's (3.0)	williams, williams', william's
IH1 S N IH0 NG	1	3	listening	4.66	listening (4.7)	listening, christening, glistening
ER1 Z IY0	1	3	jersey	4.66	jersey (4.7),  jerzy (2.5)	jersey, new-jersey, jerzy
IY1 K W AH0 L	1	3	equal	4.65	equal (4.7),  sequel (4.0)	equal, sequel, unequal
ER1 M AH0 N D	1	3	determined	4.64	determined (4.6),  thurmond (2.5)	determined, undetermined, thurmond
AO1 Z IH0 Z	1	3	causes	4.63	causes (4.6)	causes, clauses, pauses
OW1 Z AH0 N	1	3	chosen	4.61	chosen (4.6)	chosen, frozen, rosen
AE1 N AH0 D	1	3	granted	4.61	granted (4.6)	granted, planted, slanted
UW1 M AH0 N Z	1	3	humans	4.61	humans (4.6),  human's (2.7)	humans, human's, newman's
AY1 OW0	1	3	ohio	4.61	ohio (4.6)	ohio, io, pio
EY1 N L IY0	1	3	mainly	4.6	mainly (4.6),  humanely (2.6)	mainly, plainly, humanely
AH1 V R IY0	1	3	recovery	4.58	recovery (4.6)	recovery, discovery, rediscovery
AE1 N D AH0 M	1	3	random	4.58	random (4.6),  tandem (3.5),  memorandum (3.5)	random, tandem, memorandum
AA1 T AH0 L	1	3	bottle	4.57	bottle (4.6)	bottle, throttle, wattle
AA1 R T N ER0 Z	1	3	partners	4.56	partners (4.6),  partners' (4.6),  partner's (3.3)	partners, partners', partner's
IH1 K T IH0 M Z	1	3	victims	4.56	victims (4.6),  victims' (4.6),  victim's (3.5)	victims, victims', victim's
AA1 K T ER0 Z	1	3	doctors	4.55	doctors (4.5),  doctors' (4.5),  doctor's (3.7)	doctors, doctors', doctor's
AY1 B AH0 L	1	3	bible	4.54	bible (4.5),  tribal (4.0),  libel (3.3)	bible, tribal, libel
AE1 N SH AH0 N	1	3	expansion	4.54	expansion (4.5)	expansion, l'expansion, mansion
IH1 D N IY0	1	3	sydney	4.53	sydney (4.5)	sydney, kidney, sidney
IH1 L S AH0 N	1	3	wilson	4.53	wilson (4.5)	wilson, nilsson, willson
AE1 N S AH0 Z	1	3	chances	4.51	chances (4.5)	chances, advances, dances
UW1 V AH0 L	1	3	approval	4.5	approval (4.5)	approval, removal, disapproval
AH1 NG K SH AH0 N Z	1	3	functions	4.5	functions (4.5)	functions, malfunctions, injunctions
IY1 V AH0 N	1	3	stephen	4.5	stephen (4.5)	stephen, steven, uneven
OY1 N T M AH0 N T	1	3	appointment	4.49	appointment (4.5)	appointment, disappointment, ointment
AO1 TH ER0 Z	1	3	authors	4.49	authors (4.5),  authors' (4.5),  author's (3.4)	authors, authors', author's
EY1 V IH0 S	1	3	davis	4.49	davis (4.5)	davis, avis, mavis
IY1 T IH0 NG Z	1	3	meetings	4.48	meetings (4.5)	meetings, greetings, beatings
AH1 L T IH0 NG	1	3	resulting	4.48	resulting (4.5)	resulting, consulting, insulting
IH1 L D R AH0 N Z	1	3	children's	4.47	children's (4.5),  childrens (3.0),  childrens' (3.0)	children's, childrens, childrens'
IH1 SH IH0 NG	1	3	fishing	4.47	fishing (4.5)	fishing, wishing, dishing
AA1 F AH0 L	1	3	awful	4.46	awful (4.5),  waffle (3.3),  falafel (2.6)	awful, waffle, falafel
AO1 F AH0 L	1	3	awful	4.46	awful (4.5)	awful, unlawful, lawful
AO1 R JH AH0	1	3	georgia	4.46	georgia (4.5)	georgia, ga, borgia
OY1 S IH0 Z	1	3	choices	4.46	choices (4.5),  joyce's (2.6)	choices, voices, joyce's
ER1 V ER0	1	3	server	4.46	server (4.5),  fervor (3.0)	server, observer, fervor
AE1 S AH0 D	1	3	acid	4.45	acid (4.5),  prasad (3.0)	acid, prasad, placid
EY1 N JH AH0 L	1	3	angel	4.45	angel (4.5),  angell (2.6)	angel, archangel, angell
ER1 IH0 JH	1	3	encourage	4.45	encourage (4.5)	encourage, courage, discourage
AO1 R S M AH0 N T	1	3	enforcement	4.45	enforcement (4.5)	enforcement, endorsement, reinforcement
AO1 S AH0 Z	1	3	losses	4.45	losses (4.5)	losses, sauces, mosses
EH1 T W ER2 K S	1	3	networks	4.45	networks (4.5),  networks' (4.5),  network's (3.3)	networks, networks', network's
EH1 JH UW0 L D	1	3	scheduled	4.45	scheduled (4.5)	scheduled, rescheduled, unscheduled
EH1 R N AH0 S	1	3	awareness	4.44	awareness (4.4)	awareness, fairness, unfairness
IY1 P L IY0	1	3	deeply	4.44	deeply (4.4),  cheaply (3.3)	deeply, cheaply, steeply
UW1 S ER0	1	3	producer	4.44	producer (4.4)	producer, looser, transducer
EH1 T AH0 L D	1	3	settled	4.44	settled (4.4)	settled, unsettled, resettled
